,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
222,Blue Mackerel,Starting Oct 2012,0.117977642,2012,2013,,0.088483232
223,Blue Mackerel,Starting Oct 2013,0.114024957,2013,2013,0.028506239,
223,Blue Mackerel,Starting Oct 2013,0.114024957,2013,2014,,0.085518718
224,Blue Mackerel,Starting Oct 2014,0.11819206,2014,2014,0.029548015,
224,Blue Mackerel,Starting Oct 2014,0.11819206,2014,2015,,0.088644045
225,Blue Mackerel,Starting Oct 2015,0.126605092,2015,2015,0.031651273,
225,Blue Mackerel,Starting Oct 2015,0.126605092,2015,2016,,0.094953819
226,Blue Mackerel,Starting Oct 2016,0.113827913,2016,2016,0.028456978,
226,Blue Mackerel,Starting Oct 2016,0.113827913,2016,2017,,0.085370934
227,Blue Mackerel,Starting Oct 2017,0.123175715,2017,2017,0.030793929,
227,Blue Mackerel,Starting Oct 2017,0.123175715,2017,2018,,0.092381787
228,Blue Mackerel,Starting Oct 2018,0.091834157,2018,2018,0.022958539,
228,Blue Mackerel,Starting Oct 2018,0.091834157,2018,2019,,0.068875618
229,Blue Mackerel,Starting Oct 2019,0.096051595,2019,2019,0.024012899,
229,Blue Mackerel,Starting Oct 2019,0.096051595,2019,2020,,0.072038696
230,Blue Mackerel,Starting Oct 2020,0.09185836,2020,2020,0.02296459,
230,Blue Mackerel,Starting Oct 2020,0.09185836,2020,2021,,0.06889377
231,Blue Mackerel,Starting Oct 2021,0.090183471,2021,2021,0.022545868,
231,Blue Mackerel,Starting Oct 2021,0.090183471,2021,2022,,0.067637603
232,Blue Moki,Starting Oct 2001,0.399033786,2001,2001,0.099758447,
232,Blue Moki,Starting Oct 2001,0.399033786,2001,2002,,0.29927534
233,Blue Moki,Starting Oct 2002,0.473480613,2002,2002,0.118370153,
233,Blue Moki,Starting Oct 2002,0.473480613,2002,2003,,0.35511046
234,Blue Moki,Starting Oct 2003,0.521058031,2003,2003,0.130264508,
234,Blue Moki,Starting Oct 2003,0.521058031,2003,2004,,0.390793523
235,Blue Moki,Starting Oct 2004,0.436841032,2004,2004,0.109210258,
235,Blue Moki,Starting Oct 2004,0.436841032,2004,2005,,0.327630774
236,Blue Moki,Starting Oct 2005,0.476632523,2005,2005,0.119158131,
236,Blue Moki,Starting Oct 2005,0.476632523,2005,2006,,0.357474392
237,Blue Moki,Starting Oct 2006,0.488834421,2006,2006,0.122208605,
237,Blue Moki,Starting Oct 2006,0.488834421,2006,2007,,0.366625816
238,Blue Moki,Starting Oct 2007,0.530129143,2007,2007,0.132532286,
238,Blue Moki,Starting Oct 2007,0.530129143,2007,2008,,0.397596857
239,Blue Moki,Starting Oct 2008,0.514097933,2008,2008,0.128524483,
239,Blue Moki,Starting Oct 2008,0.514097933,2008,2009,,0.38557345
240,Blue Moki,Starting Oct 2009,0.566831266,2009,2009,0.141707816,
240,Blue Moki,Starting Oct 2009,0.566831266,2009,2010,,0.425123449
241,Blue Moki,Starting Oct 2010,0.603908002,2010,2010,0.150977,
241,Blue Moki,Starting Oct 2010,0.603908002,2010,2011,,0.452931001
242,Blue Moki,Starting Oct 2011,0.624329596,2011,2011,0.156082399,
242,Blue Moki,Starting Oct 2011,0.624329596,2011,2012,,0.468247197
243,Blue Moki,Starting Oct 2012,0.667078549,2012,2012,0.166769637,
243,Blue Moki,Starting Oct 2012,0.667078549,2012,2013,,0.500308912
244,Blue Moki,Starting Oct 2013,0.69250685,2013,2013,0.173126712,
244,Blue Moki,Starting Oct 2013,0.69250685,2013,2014,,0.519380137
245,Blue Moki,Starting Oct 2014,0.630415818,2014,2014,0.157603955,
245,Blue Moki,Starting Oct 2014,0.630415818,2014,2015,,0.472811864
246,Blue Moki,Starting Oct 2015,0.598571724,2015,2015,0.149642931,
246,Blue Moki,Starting Oct 2015,0.598571724,2015,2016,,0.448928793
247,Blue Moki,Starting Oct 2016,0.581697506,2016,2016,0.145424376,
247,Blue Moki,Starting Oct 2016,0.581697506,2016,2017,,0.436273129
248,Blue Moki,Starting Oct 2017,0.63944156,2017,2017,0.15986039,
248,Blue Moki,Starting Oct 2017,0.63944156,2017,2018,,0.47958117
249,Blue Moki,Starting Oct 2018,0.683031952,2018,2018,0.170757988,
249,Blue Moki,Starting Oct 2018,0.683031952,2018,2019,,0.512273964
250,Blue Moki,Starting Oct 2019,0.604101324,2019,2019,0.151025331,
250,Blue Moki,Starting Oct 2019,0.604101324,2019,2020,,0.453075993
251,Blue Moki,Starting Oct 2020,0.656774359,2020,2020,0.16419359,
251,Blue Moki,Starting Oct 2020,0.656774359,2020,2021,,0.492580769
252,Blue Moki,Starting Oct 2021,0.580919161,2021,2021,0.14522979,
252,Blue Moki,Starting Oct 2021,0.580919161,2021,2022,,0.435689371
253,Blue shark,Starting Oct 2004,0.067,2004,2004,0.01675,
253,Blue shark,Starting Oct 2004,0.067,2004,2005,,0.05025
254,Blue shark,Starting Oct 2005,0.0519,2005,2005,0.012975,
254,Blue shark,Starting Oct 2005,0.0519,2005,2006,,0.038925
255,Blue shark,Starting Oct 2006,0.0597,2006,2006,0.014925,
255,Blue shark,Starting Oct 2006,0.0597,2006,2007,,0.044775
256,Blue shark,Starting Oct 2007,0.0605,2007,2007,0.015125,
256,Blue shark,Starting Oct 2007,0.0605,2007,2008,,0.045375
257,Blue shark,Starting Oct 2008,0.0628,2008,2008,0.0157,
257,Blue shark,Starting Oct 2008,0.0628,2008,2009,,0.0471
258,Blue shark,Starting Oct 2009,0.0494,2009,2009,0.01235,
258,Blue shark,Starting Oct 2009,0.0494,2009,2010,,0.03705
259,Blue shark,Starting Oct 2010,0.0538,2010,2010,0.01345,
259,Blue shark,Starting Oct 2010,0.0538,2010,2011,,0.04035
260,Blue shark,Starting Oct 2011,0.0551,2011,2011,0.013775,
260,Blue shark,Starting Oct 2011,0.0551,2011,2012,,0.041325
261,Blue shark,Starting Oct 2012,0.0512,2012,2012,0.0128,
261,Blue shark,Starting Oct 2012,0.0512,2012,2013,,0.0384
262,Blue shark,Starting Oct 2013,0.0504,2013,2013,0.0126,
262,Blue shark,Starting Oct 2013,0.0504,2013,2014,,0.0378
263,Blue shark,Starting Oct 2014,0.0496,2014,2014,0.0124,
263,Blue shark,Starting Oct 2014,0.0496,2014,2015,,0.0372
264,Blue shark,Starting Oct 2015,0.068,2015,2015,0.017,
264,Blue shark,Starting Oct 2015,0.068,2015,2016,,0.051
265,Blue shark,Starting Oct 2016,0.0836,2016,2016,0.0209,
265,Blue shark,Starting Oct 2016,0.0836,2016,2017,,0.0627
266,Blue shark,Starting Oct 2017,0.0732,2017,2017,0.0183,
266,Blue shark,Starting Oct 2017,0.0732,2017,2018,,0.0549
267,Blue shark,Starting Oct 2018,0.0487,2018,2018,0.012175,
267,Blue shark,Starting Oct 2018,0.0487,2018,2019,,0.036525
